Name,Scope,Domain,Partition Key,Same Site,Category,Platform,Http Only,Secure,Value,Path,Expires,GDPRPortal
ljt_reader,Third Party,.lijit.com, ,None,Marketing,Federated Media Publishing,No,Yes,IibsABZH-XSK8A2yQXu3lIwX,/,2025-04-23T07:08:09.370Z,NA
test_cookie,Third Party,.doubleclick.net, ,none,Functional,DoubleClick/Google Marketing,Yes,Yes,CheckForPermission,/,2024-04-23T07:23:10.000Z,NA
DSID,Third Party,.doubleclick.net, ,none,Marketing,DoubleClick/Google Marketing,Yes,Yes,NO_DATA,/,2024-04-23T08:08:10.000Z,NA
_fsuid,Third Party,.pub.network, ,None,Uncategorized,Unknown,No,Yes,3e774865-c024-4663-9cc8-69d083792bfe,/,2026-04-23T18:46:40.937Z,NA
mc,Third Party,.quantserve.com, ,None,Marketing,Quantcast,No,Yes,66275e58-0ed66-a5034-49a25,/,2025-05-24T07:08:08.000Z,NA
UID,Third Party,.scorecardresearch.com, ,None,Marketing,ComScore,No,Yes,1D972f2e4a8010d6f17a81d1713856088,/,2026-04-13T07:08:08.313Z,NA
muc_ads,Third Party,.t.co, ,None,Marketing,X,No,Yes,2e0b9570-34ce-452a-a768-3a28890c0b89,/,2026-04-23T07:08:08.000Z,NA
guest_id_marketing,Third Party,.twitter.com, ,None,Marketing,X,No,Yes,v1%3A171385608851639737,/,2026-04-23T07:08:08.000Z,NA
guest_id_ads,Third Party,.twitter.com, ,None,Marketing,X,No,Yes,v1%3A171385608851639737,/,2026-04-23T07:08:08.000Z,NA
personalization_id,Third Party,.twitter.com, ,None,Marketing,X,No,Yes,""v1_NIqOcJgavhi3RWDbd793oA=="",/,2026-04-23T07:08:08.000Z,NA
guest_id,Third Party,.twitter.com, ,None,Marketing,X,No,Yes,v1%3A171385608851639737,/,2026-04-23T07:08:08.000Z,NA
TDID,Third Party,.adsrvr.org, ,none,Marketing,The Tradedesk,No,Yes,5313f548-706a-464b-af68-5e24fd5f2755,/,2025-04-23T07:08:09.000Z,NA
